iter	Logloss
0	0.6926362676
1	0.6921158144
2	0.6916097909
3	0.6910826046
4	0.6905659685
5	0.6900633083
6	0.6895785687
7	0.6890680929
8	0.688578735
9	0.6880854496
10	0.6875630786
11	0.687056366
12	0.6865734988
13	0.6860802753
14	0.685596806
15	0.685130066
16	0.6846310119
17	0.6841546236
18	0.6836951306
19	0.6832037549
20	0.6827357802
21	0.6822515975
22	0.6817665063
23	0.6812446693
24	0.6807684405
25	0.6802776444
26	0.6798433926
27	0.6793518846
28	0.6788789358
29	0.6784040214
30	0.6779274626
31	0.6774526876
32	0.6769771944
33	0.6765028689
34	0.6760207766
35	0.6755538994
36	0.6750835318
37	0.6745887314
38	0.6741226246
39	0.6736540529
40	0.6731954449
41	0.6727648784
42	0.6723054063
43	0.671848487
44	0.6713742618
45	0.6709123295
46	0.6704455159
47	0.6699800476
48	0.6695260744
49	0.6690788866
50	0.6686172188
51	0.6681380756
52	0.66767766
53	0.6672165932
54	0.6667539164
55	0.6663189976
56	0.6658528608
57	0.6653837024
58	0.6649149883
59	0.6644789251
60	0.664048964
61	0.663605485
62	0.6631785437
63	0.6627291019
64	0.6622886979
65	0.6618335429
66	0.6613876695
67	0.6609518187
68	0.6605263089
69	0.6600685441
70	0.6596274122
71	0.6591973728
72	0.6587591731
73	0.6583194853
74	0.6578778501
75	0.657452563
76	0.6570317851
77	0.656634597
78	0.6562212512
79	0.6558109491
80	0.6553787398
81	0.6549831233
82	0.6545919634
83	0.6541798232
84	0.6537861233
85	0.6533783048
86	0.6529735627
87	0.6525572281
88	0.6521413309
89	0.6517376443
90	0.6513342735
91	0.6509472579
92	0.6505173979
93	0.6501095907
94	0.6496939854
95	0.6492948395
96	0.6488989457
97	0.6485342379
98	0.6481186804
99	0.6477191259
100	0.647318309
101	0.6469326807
102	0.6465578271
103	0.646184147
104	0.6457823956
105	0.6453929895
106	0.6449787303
107	0.6445923261
108	0.6442254529
109	0.6438278598
110	0.6434420108
111	0.6430833893
112	0.6426799746
113	0.6422827417
114	0.6419217547
115	0.6415240919
116	0.6411395739
117	0.6407515021
118	0.6403710371
119	0.639996671
120	0.6396183897
121	0.6392615882
122	0.6388766535
123	0.6384968921
124	0.638127179
125	0.6377606629
126	0.6373980566
127	0.6370455611
128	0.6366689666
129	0.6362844795
130	0.6358960165
131	0.635548068
132	0.635171207
133	0.6348058985
134	0.6344657808
135	0.6340919245
136	0.6337109333
137	0.6333644435
138	0.6330411129
139	0.6326700447
140	0.6322798347
141	0.6319201174
142	0.6315717577
143	0.6311899764
144	0.6308377025
145	0.6304740456
146	0.6301207332
147	0.6297688932
148	0.6294112866
149	0.6290742309
150	0.6287145557
151	0.6283663479
152	0.6280071094
153	0.6276472238
154	0.6272965969
155	0.6269683372
156	0.6266240232
157	0.6262750266
158	0.6259511519
159	0.6255806742
160	0.6252320514
161	0.6249010609
162	0.6245610851
163	0.6242419222
164	0.6238658594
165	0.6235162167
166	0.6231805303
167	0.6228485965
168	0.6225126575
169	0.6221774902
170	0.6218358886
171	0.6215005982
172	0.6211423102
173	0.6208034866
174	0.6204543327
175	0.6201423754
176	0.6198022968
177	0.6194776898
178	0.6191436003
179	0.618831235
180	0.6185282993
181	0.6181713261
182	0.617836565
183	0.6175104912
184	0.6171890154
185	0.6168673662
186	0.6165526012
187	0.6162112389
188	0.615893377
189	0.615552293
190	0.6152266789
191	0.6149206642
192	0.6145913663
193	0.6142729039
194	0.6139729609
195	0.6136744616
196	0.6132995483
197	0.6129812495
198	0.6126736066
199	0.612365867
200	0.6120705261
201	0.6117669049
202	0.6114655148
203	0.6111508933
204	0.6108338478
205	0.6105292855
206	0.610210482
207	0.609905381
208	0.609616482
209	0.6092981224
210	0.6090150319
211	0.6086943595
212	0.6083940566
213	0.6081055876
214	0.6077959362
215	0.6075090812
216	0.6071824034
217	0.6068972313
218	0.6066191643
219	0.6063426273
220	0.6060681754
221	0.6057507721
222	0.6054525703
223	0.6051638994
224	0.6048475689
225	0.6045497704
226	0.6042553988
227	0.6039610936
228	0.6036494373
229	0.6033529841
230	0.6030566433
231	0.6027805134
232	0.6024851873
233	0.6021907092
234	0.6018672264
235	0.6015994785
236	0.6013097464
237	0.601015482
238	0.6007287976
239	0.6004580345
240	0.6001874465
241	0.599911452
242	0.5996389852
243	0.5993721011
244	0.5991076681
245	0.5988105699
246	0.5985228551
247	0.5982606114
248	0.5979752865
249	0.5976990442
250	0.5974251224
251	0.5971630415
252	0.5968724017
253	0.5966017328
254	0.5963196231
255	0.5960609531
256	0.5957966638
257	0.5954926932
258	0.5952159503
259	0.5949641834
260	0.5946954041
261	0.5944403113
262	0.5941602713
263	0.5938820776
264	0.5936282923
265	0.5933645903
266	0.5931194253
267	0.592842727
268	0.5925649522
269	0.5922850832
270	0.5920150255
271	0.5917296674
272	0.5914571074
273	0.5912161809
274	0.5909660687
275	0.5906890325
276	0.5904338672
277	0.5901945297
278	0.5899570502
279	0.5896617075
280	0.5894035355
281	0.5891624948
282	0.5889131484
283	0.5886350722
284	0.588388184
285	0.5881479801
286	0.5879119683
287	0.5876480191
288	0.5873975559
289	0.587160374
290	0.5869181648
291	0.5866411613
292	0.5863865084
293	0.5861400117
294	0.5858907419
295	0.5856497822
296	0.5853998687
297	0.5851465521
298	0.5848863321
299	0.5846546555
