iter	Passed	Remaining
0	1	1279
1	1	997
2	3	1054
3	4	1082
4	5	1113
5	7	1160
6	8	1154
7	9	1147
8	10	1151
9	11	1151
10	12	1145
11	13	1148
12	15	1161
13	16	1185
14	18	1190
15	19	1197
16	20	1209
17	22	1213
18	24	1244
19	25	1253
20	26	1257
21	28	1258
22	29	1264
23	31	1263
24	32	1260
25	33	1258
26	34	1259
27	36	1265
28	37	1266
29	39	1278
30	41	1286
31	42	1292
32	44	1290
33	45	1291
34	47	1298
35	48	1299
36	49	1296
37	51	1296
38	52	1292
39	53	1291
40	55	1288
41	56	1297
42	58	1295
43	59	1294
44	60	1293
45	62	1290
46	63	1288
47	64	1286
48	66	1286
49	67	1286
50	69	1286
51	70	1286
52	71	1272
53	73	1279
54	74	1277
55	75	1278
56	77	1276
57	78	1275
58	80	1277
59	81	1275
60	82	1275
61	84	1277
62	85	1273
63	86	1271
64	88	1274
65	89	1273
66	91	1270
67	92	1268
68	94	1268
69	95	1267
70	96	1267
71	98	1266
72	99	1269
73	101	1267
74	102	1266
75	103	1263
76	105	1263
77	106	1261
78	108	1262
79	109	1259
80	111	1262
81	112	1262
82	113	1258
83	115	1256
84	116	1253
85	117	1251
86	119	1251
87	120	1249
88	122	1251
89	123	1252
90	125	1250
91	126	1248
92	127	1242
93	128	1240
94	130	1239
95	131	1237
96	133	1238
97	134	1237
98	136	1239
99	137	1240
100	139	1240
101	140	1239
102	142	1240
103	143	1239
104	145	1237
105	146	1236
106	147	1234
107	149	1233
108	150	1232
109	152	1230
110	153	1232
111	155	1231
112	157	1233
113	158	1232
114	159	1230
115	161	1229
116	162	1227
117	164	1226
118	165	1226
119	166	1224
120	168	1222
121	169	1220
122	171	1220
123	172	1219
124	174	1218
125	175	1218
126	177	1216
127	178	1214
128	179	1213
129	181	1215
130	183	1214
131	184	1213
132	185	1211
133	187	1210
134	188	1208
135	190	1207
136	191	1206
137	193	1207
138	194	1205
139	195	1203
140	197	1203
141	198	1201
142	200	1198
143	201	1199
144	203	1201
145	205	1202
146	206	1198
147	207	1196
148	209	1196
149	210	1195
150	212	1193
151	213	1192
152	215	1191
153	216	1189
154	217	1188
155	219	1188
156	220	1185
157	222	1183
158	223	1182
159	224	1180
160	226	1182
161	228	1180
162	229	1180
163	231	1179
164	232	1177
165	233	1175
166	235	1174
167	237	1175
168	238	1174
169	240	1173
170	241	1171
171	242	1169
172	244	1169
173	246	1168
174	247	1166
175	248	1164
176	249	1162
177	251	1160
178	252	1157
179	253	1156
180	255	1155
181	256	1154
182	258	1153
183	259	1152
184	261	1150
185	262	1149
186	264	1148
187	265	1146
188	266	1145
189	268	1146
190	270	1144
191	271	1143
192	273	1142
193	274	1140
194	275	1139
195	277	1136
196	278	1136
197	280	1135
198	282	1135
199	283	1133
200	284	1132
201	287	1133
202	288	1134
203	290	1133
204	292	1133
205	293	1132
206	295	1132
207	297	1133
208	299	1132
209	300	1130
210	302	1130
211	303	1129
212	305	1128
213	307	1127
214	308	1125
215	309	1123
216	311	1123
217	312	1121
218	313	1119
219	315	1117
220	316	1116
221	318	1115
222	319	1114
223	321	1112
224	322	1110
225	323	1109
226	325	1108
227	326	1106
228	328	1105
229	329	1104
230	331	1103
231	332	1101
232	334	1099
233	335	1097
234	337	1097
235	338	1095
236	339	1093
237	341	1091
238	342	1090
239	344	1089
240	345	1087
241	347	1086
242	348	1085
243	349	1083
244	351	1081
245	352	1080
246	353	1078
247	355	1077
248	356	1076
249	358	1074
250	359	1072
251	361	1072
252	362	1070
253	363	1069
254	365	1066
255	366	1066
256	368	1066
257	370	1066
258	372	1066
259	374	1065
260	375	1063
261	376	1061
262	378	1059
263	379	1058
264	381	1057
265	383	1058
266	384	1056
267	386	1055
268	387	1054
269	389	1052
270	390	1050
271	391	1048
272	393	1047
273	394	1046
274	396	1044
275	397	1043
276	399	1042
277	400	1041
278	402	1039
279	403	1036
280	404	1035
281	406	1034
282	407	1032
283	408	1030
284	410	1029
285	411	1027
286	413	1027
287	414	1025
288	416	1024
289	417	1022
290	419	1021
291	420	1020
292	422	1018
293	423	1016
294	424	1015
295	426	1013
296	427	1011
297	428	1009
298	430	1009
299	431	1007
300	433	1007
301	435	1006
302	437	1006
303	439	1005
304	440	1004
305	442	1002
306	443	1001
307	445	1000
308	446	998
309	447	996
310	449	995
311	450	994
312	452	992
313	453	990
314	454	989
315	456	987
316	457	985
317	458	983
318	460	982
319	461	980
320	462	979
321	464	978
322	465	976
323	467	975
324	469	974
325	470	973
326	471	971
327	473	970
328	476	970
329	477	969
330	478	967
331	480	967
332	482	965
333	483	964
334	484	962
335	486	961
336	487	959
337	489	957
338	490	956
339	491	954
340	492	952
341	494	950
342	495	948
343	496	946
344	498	946
345	499	945
346	501	943
347	502	941
348	503	939
349	505	938
350	506	936
351	507	934
352	509	933
353	510	931
354	511	929
355	513	928
356	514	927
357	516	925
358	517	924
359	518	922
360	520	921
361	521	919
362	523	918
363	525	917
364	526	916
365	528	914
366	529	913
367	531	912
368	533	911
369	534	910
370	535	908
371	537	907
372	538	905
373	540	903
374	541	902
375	542	900
376	543	898
377	544	896
378	546	895
379	548	894
380	550	893
381	552	894
382	554	892
383	555	891
384	556	889
385	558	888
386	559	886
387	560	884
388	562	882
389	563	882
390	565	881
391	567	880
392	568	878
393	570	876
394	571	875
395	572	873
396	574	872
397	575	870
398	577	869
399	579	868
400	580	867
401	581	865
402	583	864
403	585	863
404	586	861
405	587	859
406	589	858
407	590	857
408	592	855
409	593	854
410	595	853
411	596	851
412	598	850
413	599	848
414	601	847
415	602	845
416	603	844
417	605	843
418	607	841
419	608	840
420	610	839
421	611	837
422	612	835
423	614	834
424	615	833
425	617	831
426	618	829
427	619	828
428	621	826
429	622	825
430	624	823
431	625	822
432	626	821
433	628	819
434	629	818
435	631	816
436	632	815
437	634	813
438	635	812
439	637	810
440	638	809
441	639	807
442	641	806
443	643	805
444	644	804
445	646	802
446	647	801
447	648	799
448	650	797
449	651	796
450	652	794
451	654	793
452	655	791
453	656	790
454	658	788
455	659	787
456	661	785
457	662	784
458	663	782
459	665	781
460	666	779
461	668	778
462	669	776
463	670	774
464	671	772
465	672	770
466	673	768
467	674	766
468	675	765
469	677	763
470	678	762
471	680	761
472	681	759
473	682	757
474	684	756
475	685	754
476	687	753
477	688	751
478	690	750
479	691	749
480	692	747
481	694	746
482	696	745
483	697	743
484	698	741
485	699	740
486	700	738
487	701	736
488	703	735
489	704	733
490	705	731
491	706	729
492	708	728
493	709	726
494	710	725
495	712	723
496	713	722
497	714	720
498	715	718
499	717	717
500	718	715
501	720	714
502	721	712
503	722	711
504	724	709
505	725	708
506	727	707
507	728	705
508	730	704
509	731	702
510	733	701
511	734	700
512	736	698
513	737	697
514	739	696
515	740	694
516	742	693
517	744	692
518	745	690
519	746	689
520	748	688
521	750	686
522	751	685
523	753	684
524	754	682
525	755	680
526	755	678
527	757	676
528	759	675
529	760	674
530	762	673
531	763	671
532	765	670
533	767	669
534	768	668
535	770	666
536	771	664
537	772	663
538	774	662
539	776	661
540	776	659
541	778	657
542	780	656
543	781	654
544	782	653
545	784	652
546	785	650
547	786	648
548	788	647
549	789	645
550	790	644
551	792	642
552	793	641
553	794	639
554	796	638
555	797	636
556	798	635
557	799	633
558	801	632
559	802	630
560	803	629
561	805	627
562	806	626
563	808	625
564	810	623
565	811	622
566	813	621
567	815	620
568	817	618
569	818	617
570	820	616
571	821	614
572	822	613
573	824	612
574	826	610
575	827	609
576	828	607
577	829	605
578	830	604
579	832	602
580	833	601
581	834	599
582	835	597
583	837	596
584	838	594
585	839	593
586	841	591
587	842	590
588	843	588
589	845	587
590	846	585
591	847	584
592	849	582
593	850	581
594	851	579
595	853	578
596	854	577
597	856	575
598	857	574
599	858	572
600	860	571
601	861	569
602	862	568
603	864	566
604	865	565
605	866	563
606	868	562
607	869	560
608	870	559
609	872	557
610	873	556
611	875	554
612	876	553
613	877	551
614	879	550
615	880	549
616	882	547
617	883	546
618	884	544
619	885	542
620	887	541
621	888	540
622	889	538
623	891	537
624	892	535
625	894	534
626	895	532
627	896	531
628	897	529
629	899	528
630	900	526
631	901	524
632	902	523
633	903	521
634	905	520
635	906	518
636	907	517
637	908	515
638	910	514
639	911	512
640	913	511
641	914	509
642	916	508
643	917	507
644	918	505
645	919	504
646	921	502
647	923	501
648	924	500
649	926	498
650	928	497
651	929	495
652	930	494
653	931	492
654	932	491
655	934	489
656	935	488
657	936	486
658	938	485
659	939	484
660	941	482
661	942	481
662	943	479
663	945	478
664	946	476
665	947	475
666	948	473
667	950	472
668	951	470
669	952	469
670	954	467
671	955	466
672	957	465
673	958	463
674	960	462
675	961	460
676	962	459
677	964	457
678	965	456
679	966	454
680	967	453
681	969	452
682	971	450
683	972	449
684	973	447
685	975	446
686	977	445
687	978	443
688	980	442
689	981	440
690	982	439
691	984	437
692	985	436
693	986	435
694	988	433
695	991	432
696	992	431
697	994	430
698	995	428
699	997	427
700	999	426
701	1000	424
702	1002	423
703	1003	422
704	1006	421
705	1008	419
706	1009	418
707	1011	417
708	1012	415
709	1013	414
710	1015	412
711	1016	411
712	1018	409
713	1019	408
714	1021	407
715	1022	405
716	1024	404
717	1025	402
718	1028	401
719	1029	400
720	1031	399
721	1033	397
722	1035	396
723	1037	395
724	1037	393
725	1039	392
726	1041	390
727	1042	389
728	1044	388
729	1045	386
730	1046	385
731	1048	384
732	1050	382
733	1052	381
734	1054	380
735	1056	378
736	1057	377
737	1058	375
738	1060	374
739	1061	372
740	1062	371
741	1064	370
742	1065	368
743	1067	367
744	1069	366
745	1070	364
746	1071	363
747	1073	361
748	1075	360
749	1076	358
750	1078	357
751	1080	356
752	1081	354
753	1082	353
754	1084	351
755	1086	350
756	1087	349
757	1089	347
758	1090	346
759	1092	344
760	1093	343
761	1094	341
762	1095	340
763	1096	338
764	1098	337
765	1099	335
766	1101	334
767	1103	333
768	1104	331
769	1105	330
770	1107	328
771	1109	327
772	1111	326
773	1112	324
774	1113	323
775	1115	321
776	1117	320
777	1118	319
778	1120	317
779	1121	316
780	1122	314
781	1124	313
782	1125	312
783	1127	310
784	1129	309
785	1130	307
786	1132	306
787	1134	305
788	1136	303
789	1137	302
790	1138	300
791	1140	299
792	1142	298
793	1143	296
794	1145	295
795	1146	293
796	1147	292
797	1149	291
798	1151	289
799	1152	288
800	1154	286
801	1156	285
802	1157	283
803	1158	282
804	1159	280
805	1160	279
806	1162	277
807	1162	276
808	1164	274
809	1164	273
810	1166	271
811	1167	270
812	1167	268
813	1168	266
814	1169	265
815	1170	263
816	1171	262
817	1173	261
818	1173	259
819	1174	257
