"","grid","L","sigma2","n"
"1",0,-0.00920750000000004,0.0003125,2
"2",0.0833333333333242,-0.0945760000000001,0.00846400000000001,1
"3",1.25,-0.065596,0.003844,1
"4",2.30555555555555,0.0147289999999999,0.000168999999999998,1
"5",2.66666666666667,-0.024156,0.000484000000000001,1
"6",3.72222222222223,-0.00889600000000002,6.40000000000003e-05,1
"7",3.8611111111111,0.0262889999999999,0.000528999999999998,1
"8",3.97222222222222,-0.058872,0.010568,2
"9",4.33333333333333,-0.144679,0.022201,1
"10",4.63888888888888,-0.111999,0.012321,1
"11",4.77777777777778,-0.117351,0.013689,1
"12",5.91666666666666,-0.182556,0.039204,1
"13",6.05555555555556,-0.148764,0.023716,1
"14",7.36111111111111,-0.176675,0.036125,2
"15",7.5,-0.1948295,0.0465305,2
"16",8.44444444444444,-0.152799,0.025281,1
"17",9.55555555555556,-0.2047,0.0529,1
"18",9.91666666666667,-0.235759,0.078961,1
"19",11.0833333333333,-0.151996,0.024964,1
"20",11.1944444444445,-0.213744,0.059536,1
"21",11.3888888888889,-0.187575,0.042025,1
"22",12.3333333333333,-0.245479,0.089401,1
"23",13.25,-0.253575,0.099225,1
"24",13.9722222222222,-0.224199,0.068121,1
"25",14.2777777777778,-0.280058333333333,0.142181666666667,3
"26",15.4722222222222,-0.289264,0.163216,1
"27",15.8888888888889,-0.288,0.16,1
"28",16.9722222222222,-0.302575,0.207025,1
"29",18.1666666666667,-0.292864,0.173056,1
"30",18.4722222222222,-0.295644,0.181476,1
"31",19.4722222222222,-0.291399,0.168921,1
"32",20.4444444444444,-0.301719,0.203401,1
"33",21.3055555555556,-0.299439,0.194481,1
"34",22.3333333333333,-0.304384,0.215296,1
"35",23.1111111111111,-0.304575,0.216225,1
"36",23.8333333333333,-0.306711,0.227529,1
"37",24.8333333333333,-0.3036,0.2116,1
"38",24.9444444444444,-0.300831,0.199809,1
"39",25,-0.304286,0.216514,2
"40",25.7222222222222,-0.304191,0.214369,1
"41",26.9444444444444,-0.304384,0.215296,1
"42",28.2777777777778,-0.310041,0.250519,4
"43",28.3888888888889,-0.309111,0.243049,1
"44",29.3333333333333,-0.31,0.25,1
"45",30.25,-0.311575,0.265225,1
"46",31.25,-0.3055,0.2209,1
"47",32.4444444444444,-0.303196,0.209764,1
"48",33.3333333333333,-0.311296,0.262144,1
"49",34.4722222222222,-0.301936,0.204304,1
"50",35.6666666666667,-0.300831,0.199809,1
"51",35.8611111111111,-0.299911,0.196249,1
"52",36.1111111111111,-0.301243,0.201637,2
"53",36.25,-0.3015,0.2025,1
"54",36.3888888888889,-0.29983,0.19633,2
"55",37.4444444444444,-0.305319,0.219961,1
"56",38.6666666666667,-0.307516,0.232324,1
"57",39.3055555555556,-0.307039,0.229441,1
"58",40.1944444444444,-0.290496,0.166464,1
"59",40.3055555555556,-0.294556,0.178084,1
"60",41.3888888888889,-0.294556,0.178084,1
"61",42.4444444444444,-0.306204,0.224676,1
"62",43.2222222222222,-0.306204,0.224676,1
"63",43.3611111111111,-0.307975,0.235225,1
"64",44.7222222222222,-0.307359,0.231361,1
"65",44.8055555555556,-0.312,0.2704,1
"66",45.0555555555556,-0.311659333333333,0.266260666666667,3
"67",45.75,-0.311484,0.264196,1
"68",46.5277777777778,-0.311575,0.265225,1
"69",46.6666666666667,-0.31079,0.25705,2
"70",47.2777777777778,-0.311664,0.266256,1
"71",47.4166666666667,-0.312816,0.283024,1
"72",47.5277777777778,-0.312924,0.285156,1
"73",47.6388888888889,-0.310896,0.258064,1
"74",47.75,-0.312816,0.283024,1
"75",47.8611111111111,-0.312759,0.281961,1
"76",48,-0.312871,0.284089,1
"77",48.1111111111111,-0.312924,0.285156,1
"78",48.2777777777778,-0.312156,0.272484,1
"79",48.5,-0.312511,0.277729,1
"80",48.8333333333333,-0.311913,0.269367,3
"81",49,-0.31,0.25,1
"82",49.1944444444444,-0.310236,0.252004,1
"83",49.3333333333333,-0.310791,0.257049,1
"84",49.5555555555556,-0.308913666666667,0.244739666666667,3
"85",49.7777777777778,-0.306179,0.224701,2
"86",50,-0.307330666666667,0.231762666666667,3
"87",50.9166666666667,-0.302364,0.206116,1
"88",51,-0.3015,0.2025,1
"89",51.7222222222222,-0.300831,0.199809,1
"90",51.9444444444444,-0.299911,0.196249,1
"91",52.1111111111111,-0.292284,0.171396,1
"92",52.3333333333333,-0.294279,0.177241,1
"93",53.0555555555556,-0.2911,0.1681,1
"94",53.8055555555556,-0.2911,0.1681,1
"95",53.8888888888889,-0.293436,0.174724,1
"96",54.1666666666667,-0.294827,0.178933,2
"97",54.3055555555556,-0.297975,0.189225,1
"98",55.4166666666667,-0.293151,0.173889,1
"99",56.7222222222222,-0.295644,0.181476,1
"100",57.9722222222222,-0.292864,0.173056,1
"101",59.1666666666667,-0.270751,0.124609,1
"102",59.3611111111111,-0.291991,0.170569,1
"103",59.5277777777778,-0.294,0.1764,1
"104",59.7222222222222,-0.280476,0.142884,1
"105",60.7777777777778,-0.284359,0.151321,1
"106",61.9166666666667,-0.279744,0.141376,1
"107",62.5555555555556,-0.297724,0.188356,1
"108",63.6666666666667,-0.299676,0.195364,1
"109",63.75,-0.306375,0.225625,1
"110",64.0277777777778,-0.308124,0.236196,1
"111",65.1944444444444,-0.304191,0.214369,1
"112",66.2222222222222,-0.304764,0.217156,1
"113",66.8888888888889,-0.309756,0.248004,1
"114",67,-0.305059,0.221341,2
"115",67.1111111111111,-0.299439,0.194481,1
"116",67.3055555555556,-0.309631,0.247009,1
"117",67.9722222222222,-0.292864,0.173056,1
"118",68.75,-0.290496,0.166464,1
"119",69.4166666666667,-0.293719,0.175561,1
"120",70.3333333333333,-0.305679,0.221841,1
"121",71.4444444444444,-0.3015,0.2025,1
"122",71.6666666666667,-0.308559,0.239121,1
"123",72.7222222222222,-0.309375,0.245025,1
"124",73.5555555555556,-0.308976,0.242064,1
"125",74.5277777777778,-0.309111,0.243049,1
"126",75,-0.3026475,0.2086325,2
"127",75.1111111111111,-0.307824,0.234256,1
"128",75.2777777777778,-0.301936,0.204304,1
"129",75.3611111111111,-0.299439,0.194481,1
"130",76.25,-0.304191,0.214369,1
"131",76.9722222222222,-0.298959,0.192721,1
"132",77.8055555555555,-0.297471,0.187489,1
"133",78.5555555555556,-0.289264,0.163216,1
"134",79.3333333333333,-0.294556,0.178084,1
"135",80.0833333333333,-0.290496,0.166464,1
"136",80.25,-0.2791695,0.1402705,2
"137",82.5,-0.287356,0.158404,1
"138",83.4444444444444,-0.260239,0.108241,1
"139",84.0277777777778,-0.26311,0.112463333333333,3
"140",85.1944444444444,-0.280476,0.142884,1
"141",86.4444444444444,-0.289575,0.164025,1
"142",86.5833333333333,-0.288951,0.162409,1
"143",87.7222222222222,-0.299439,0.194481,1
"144",88.9444444444444,-0.308271,0.237169,1
"145",90.0277777777778,-0.3036,0.2116,1
"146",91.4444444444444,-0.304191,0.214369,1
"147",92.5277777777778,-0.306711,0.227529,1
"148",93.7777777777778,-0.308416,0.238144,1
"149",95.0277777777778,-0.309548333333333,0.247091666666667,3
"150",95.1111111111111,-0.310791,0.257049,1
"151",95.2222222222222,-0.311294,0.269986,2
"152",95.5,-0.313456,0.300304,1
"153",95.6388888888889,-0.3135035,0.3030565,2
"154",95.75,-0.313547,0.305813,2
"155",95.8611111111111,-0.313599,0.312481,1
"156",95.9722222222222,-0.3135975,0.3119225,2
"157",96,-0.313591,0.310249,1
"158",96.0833333333333,-0.313596,0.311364,1
"159",96.1666666666667,-0.313596,0.311364,1
"160",96.2777777777778,-0.313599,0.312481,1
"161",96.6666666666667,-0.3135875,0.3096925,2
"162",97.3333333333333,-0.313596,0.311364,1
"163",97.9166666666667,-0.313596,0.311364,1
"164",98.1666666666667,-0.313595,0.311365,2
"165",98.3611111111111,-0.313599,0.312481,1
"166",98.9722222222222,-0.313599,0.312481,1
"167",99.2777777777778,-0.313599,0.312481,1
"168",99.3055555555556,-0.313599,0.312481,1
"169",99.7777777777778,-0.3135995,0.3130405,2
"170",NA,0,0,1
