home_team_id,away_team_id,home_win,sequenceNumber,homeWinProbability,homeScore,scoringPlay,priority,statYardage,awayScore,wallclock,modified,id,text,period.number,start.distance,start.yardLine,start.team.id,start.down,start.yardsToEndzone,clock.displayValue,type.id,type.text,type.abbreviation,end.shortDownDistanceText,end.possessionText,end.downDistanceText,end.distance,end.yardLine,end.team.id,end.down,end.yardsToEndzone,start.shortDownDistanceText,start.possessionText,start.downDistanceText,scoringType.displayName,scoringType.name,scoringType.abbreviation,minutes_remaining,game_completed,phat_A,phat_B,Y
4.0,33.0,1.0,100,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.44,1.0
,,,3600,0.433,0.0,False,False,0.0,0.0,2018-09-14T00:22:45Z,2018-09-30T09:48Z,40103069036.0,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",1.0,0.0,35.0,4.0,0.0,65.0,15:00,53.0,Kickoff,K,1st & 10,BAL 25,1st & 10 at BAL 25,10.0,75.0,33.0,1.0,75.0,,,,,,,60.0,0.0,0.433,0.44,1.0
,,,6000,0.464,0.0,False,False,0.0,0.0,2018-09-14T00:23:26Z,2018-09-30T09:48Z,40103069060.0,(15:00) (Shotgun) J.Flacco pass incomplete short middle to M.Crabtree (H.Nickerson).,1.0,10.0,75.0,33.0,1.0,75.0,15:00,3.0,Pass Incompletion,,2nd & 10,BAL 25,2nd & 10 at BAL 25,10.0,75.0,33.0,2.0,75.0,1st & 10,BAL 25,1st & 10 at BAL 25,,,,60.0,0.0,0.464,0.44,1.0
,,,8200,0.532,0.0,False,False,1.0,0.0,2018-09-14T00:24:02Z,2018-09-30T09:48Z,40103069082.0,(14:57) A.Collins right tackle to BLT 26 for 1 yard (D.Kirkpatrick; N.Vigil).,1.0,10.0,75.0,33.0,2.0,75.0,14:57,5.0,Rush,RUSH,2nd & 11,BAL 26,2nd & 11 at BAL 26,11.0,74.0,4.0,2.0,79.0,2nd & 10,BAL 25,2nd & 10 at BAL 25,,,,59.95,0.08333333333332416,0.532,0.44,1.0
,,,10300,0.502,0.0,False,False,-1.0,0.0,2018-09-14T00:24:43Z,2018-09-30T09:48Z,401030690103.0,(14:15) (Shotgun) J.Flacco sacked at BLT 25 for -1 yards (G.Atkins).,1.0,9.0,74.0,33.0,3.0,74.0,14:15,7.0,Sack,,4th & 11,BAL 25,4th & 11 at BAL 25,11.0,75.0,4.0,4.0,80.0,3rd & 9,BAL 26,3rd & 9 at BAL 26,,,,59.25,1.2499999999999956,0.502,0.44,1.0
,,,12200,0.427,0.0,False,False,16.0,0.0,2018-09-14T00:25:21Z,2018-09-30T09:48Z,401030690122.0,"(13:37) S.Koch punts 55 yards to CIN 20, Center-M.Cox. D.Phillips MUFFS catch, and recovers at CIN 15. D.Phillips to CIN 31 for 16 yards (J.Allen).",1.0,10.0,75.0,33.0,4.0,75.0,13:37,52.0,Punt,PUNT,4th & 11,CIN 31,4th & 11 at CIN 31,11.0,31.0,4.0,4.0,69.0,4th & 10,BAL 25,4th & 10 at BAL 25,,,,58.61666666666667,2.3055555555555496,0.427,0.44,1.0
,,,16000,0.462,0.0,False,False,-1.0,0.0,2018-09-14T00:26:17Z,2018-09-30T09:48Z,401030690160.0,(13:24) J.Mixon left tackle to CIN 30 for -1 yards (C.Wormley).,1.0,10.0,31.0,4.0,1.0,69.0,13:24,5.0,Rush,RUSH,2nd & 11,CIN 30,2nd & 11 at CIN 30,11.0,30.0,4.0,2.0,70.0,1st & 10,CIN 31,1st & 10 at CIN 31,,,,58.4,2.6666666666666727,0.462,0.44,1.0
,,,18100,0.448,0.0,False,False,0.0,0.0,2018-09-14T00:26:55Z,2018-09-30T09:48Z,401030690181.0,(12:46) (Shotgun) A.Dalton pass incomplete short right to A.Green (E.Weddle).,1.0,11.0,30.0,4.0,2.0,70.0,12:46,3.0,Pass Incompletion,,3rd & 11,CIN 30,3rd & 11 at CIN 30,11.0,30.0,4.0,3.0,70.0,2nd & 11,CIN 30,2nd & 11 at CIN 30,,,,57.766666666666666,3.7222222222222268,0.448,0.44,1.0
,,,21500,0.417,0.0,False,False,0.0,0.0,2018-09-14T00:27:44Z,2018-09-30T09:48Z,401030690215.0,"(12:41) (Shotgun) A.Dalton pass incomplete deep middle to T.Boyd. BLT-C.Mosley was injured during the play. His return is Questionable.  Penalty on CIN-G.Bernard, Tripping, declined.",1.0,11.0,30.0,4.0,3.0,64.0,12:41,3.0,Pass Incompletion,,2nd & 21,CIN 30,2nd & 21 at CIN 30,21.0,30.0,33.0,2.0,70.0,3rd & 11,CIN 30,3rd & 11 at CIN 30,,,,57.68333333333334,3.861111111111104,0.417,0.44,1.0
,,,23700,0.42,0.0,False,False,-5.0,0.0,2018-09-14T00:28:40Z,2018-09-30T09:48Z,401030690237.0,"(12:37) (Punt formation) PENALTY on CIN-B.Wilson, False Start, 5 yards, enforced at CIN 30 - No Play.",1.0,11.0,30.0,4.0,4.0,70.0,12:37,8.0,Penalty,PEN,4th & 16,CIN 25,4th & 16 at CIN 25,16.0,25.0,4.0,4.0,75.0,4th & 11,CIN 30,4th & 11 at CIN 30,,,,57.61666666666667,3.9722222222222214,0.42,0.44,1.0
